4	the activity of learning or being trained	the gradual process of acquiring knowledge.
3.8	thin metal strips used in typesetting	thin strip of metal used to separate lines of type in printing.
4.2	falcon: abandon intended game and pursue lesser prey	abandon the intended prey, turn, and pursue an inferior prey.
1.8	the act of designating a role to someone	the act of designating or identifying something.
4	make pure or free from sin	make pure or free from sin or guilt.
4	leave undone or leave out	fail to do something; leave something undone.
3.6	a social set or clique of friends	an unofficial association of people or groups.
4.4	The upper part of a column.	the upper part of a column that supports the entablature.
3	sink to a lower level; descend	sink to a lower level or form a depression.
4.6	create code or computer programs	create code, write a computer program.
3.2	release from confinement, obligation, or a burden	grant relief or an exemption from a rule or requirement to.
4.4	(Cause to) sully the good name and reputation of.	charge falsely or with malicious intent; attack the good name and reputation of someone.
3.4	a company that provides public service commodities	a company that performs a public service; subject to government regulation.
4.4	Physically extend or spread outward from a center or focus or inward towards a center; physically spread from a start point.	extend or spread outward from a center or focus or inward towards a center.
5	Distribute systematically or strategically; initiate.	to distribute systematically or strategically.
3.6	create something in the mind	form a mental image of something that is not present or that is not the case.
4.8	(cause to) become less clear or indistinct	to make less distinct or clear.
3.8	exempt or free from a burden, duty, or requirement	free from a burden, evil, or distress.
4.2	a straight length of road or racetrack	a straightaway section of a racetrack.
4.2	(cause to) emit a brief burst of light	emit a brief burst of light.
3.2	stretch to the utmost, causing stress or injury	alter the shape of (something) by stress.
4.4	move in a group or flock	move as a crowd or in a group.
4.8	a temporary debarment, revoking of a privilege	a temporary debarment (from a privilege or position etc).
4.8	An imperfection; the quality of being inadequate or falling short.	the quality of being inadequate or falling short of perfection.
4.6	clear mucus from one's throat	clear mucus or food from one's throat.
3.6	preserve, keep in safety, use frugally	keep in safety and protect from harm, decay, loss, or destruction.
4.6	an address used for postal communication	the address where a person or organization can be communicated with.
4	An organization that sponsors a large public event	any organization that provides resources and facilities for a function or event.
4.2	legally approve or ratify a person for a position	support a person for a position.
5	Try to cure by special care or treatment, of an illness or injury; treat carefully.	try to cure by special care of treatment, of an illness or injury.
1.4	anything with the form of a thin strip	a long thin implement resembling a length of wood.
4	the controlling component of a grammatical constituent	(grammar) the word in a grammatical constituent that plays the same grammatical role as the whole constituent.
3.6	reach a destination or goal	reach a destination; arrive by movement or progress.
4.5	Shrivel, wither, or mature imperfectly, as of a flower.	shrivel or wither or mature imperfectly.
4.8	Part, cease, or break association with (something).	part; cease or break association with.
3.6	a cue given to someone for assistance	a cue given to a performer (usually the beginning of the next line to be spoken).
1.6	make more common, uniform or general	draw from specific cases for more general cases.
4.8	(cause to) burst or open, usually with a sharp sound	burst open with a sharp, explosive sound.
3.4	Make (undue) claims of owning.	make undue claims to having.
4.8	the political head of city government	the head of a city government.
4.2	to cause to become quiet	become quiet or still; fall silent.
4	More forward in a leaping or skipping manner.	move forward by leaps and bounds.
4.4	give up right or possession to another	give up or agree to forgo to the power or possession of another.
4.6	come as a logical consequence, be inferred	come as a logical consequence; follow logically.
5	the event of gradually vanishing from view	the event of fading and gradually vanishing from sight.
4	feel anxious, concerned, uneasy, or apprehensive about	be afraid or feel anxious or apprehensive about a possible or probable situation or event.
3.8	travel in or be shaped like a zigzag	travel along a zigzag path.
5	create a mess or disorder	make a mess of or create disorder in.
5	the state of being employed	the state of being employed or having a job.
4.8	a sculpture of a human or animal	a sculpture representing a human or animal.
1.75	(abstract) characterize, commemorate, make special (or respectful)	be a distinctive feature, attribute, or trait; sometimes in a very positive sense.
4	operating or traveling via a vehicle	travel or be transported in a vehicle.
4.2	(cause to) fall or subside to a lower place, level, or value	fall or descend to a lower place or level.
4	the ability to recall things	the ability to recall past occurrences.
3.4	An animate agent utters with a spitting sound, as if in a rage.	utter with a spitting sound, as if in a rage.
3.2	the noise of something rapping against a surface	the sound of knocking (as on a door or in an engine or bearing).
2.6	Ask for and get something for free.	ask for and get free; be a parasite.
1.6	a general condition of soundness of a system or machine	the general condition of body and mind.
4.4	an area enclosed by walls or buildings	an area wholly or partly surrounded by walls or buildings.
4.4	raising the stakes or bet of a game by a factor of 2	raising the stakes in a card game by a factor of 2.
3	the act of surrendering an asset	the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc..
2.8	protect or speak up against criticism or opposition	protect or fight for as a champion.
4	A relation of affinity or harmony between people.	a relation of affinity or harmony between people; whatever affects one correspondingly affects the other.
4	save from an experience, action or harm	save or relieve from an experience or action.
4.8	go around the rim of	run around the rim of.
0.8	take in (mentally or physically)	take (gas, light or heat) into a solution.
4.2	separate (as if) by passing through a sieve	separate by passing through a sieve or other straining device to separate out coarser elements.
5	a cultivated plant that is now growing wild	a plant originally cultivated but now growing wild.
5	speed up the process of	speed up the progress of; facilitate.
4.8	Provide evidence for; show by one's behavior, attitude, or external attributes; embody.	provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes.
4.2	a computer program that performs system support	(computer science) a program designed for general support of the processes of a computer.
4.4	the length of time of a temporary cessation	a time interval during which there is a temporary cessation of something.
3.4	rhythmical thrusting of the legs in a swim stroke	a rhythmic thrusting movement of the legs as in swimming or calisthenics.
3.8	Make more temperate, acceptable, or suitable.	make more temperate, acceptable, or suitable by adding something else; moderate.
4.6	confine in or as if in a prison	confine as if in a prison.
4.2	make amorous or sexual advances toward	approach with an offer of sexual favors.
3.75	Put down by force, intimidation, or authority, as of a person; correct by punishment or discipline.	correct by punishment or discipline.
2.8	break up a solid, usually into a solution	cause to go into a solution.
4.6	A movement (physical or abstract) back from an impact.	a movement back from an impact.
4.6	the act of putting something to use.	the action of putting something into operation.
0.4	(cause to) relax, be at ease, assume a friendly manner	disentangle and raise the fibers of.
3.2	a physical framework of crossing strips, often wooden	framework consisting of an ornamental design made of strips of wood or metal.
3.6	an itemized statement of money owed	an itemized statement of money owed for goods shipped or services rendered.
4.6	positively-charged center part of an atom	the positively charged dense center of an atom.
3.8	An event that causes someone or something to die.	an event that causes someone to die.
0.8	indicate a decision or prediction	declare in the capacity of an umpire or referee.
4.6	state of being active, bustling about	the trait of being active; moving or acting rapidly and energetically.
4	cause to become awake or alert	cause to be alert and energetic.
4.6	Look through a book or some other written material (for information).	look through a book or other written material.
5	the conclusion of a communication	the last section of a communication.
4	meet or encounter on social or professional capacity	go to see for professional or business reasons.
4.4	assembled group of spectators at a performance	a gathering of spectators or listeners at a (usually public) performance.
3.6	give interlinear explanations or citations for text	provide an interlinear translation of a word or phrase.
3.6	Leave to someone after one's death.	leave or give by will after one's death.
3	cause to vibrate in a different pattern	cause to vibrate in a definite pattern.
3.8	compel, enforce, or insist on something	compel to behave in a certain way.
0.4	draw a cross in the air over something	travel across or pass over.
4.2	give away something that is not needed	give up what is not strictly needed.
4.6	(Cause to) become less interesting, attractive or vigorous.	become less interesting or attractive.
4.4	have a disagreement or quarrel over something	have a disagreement over something.
1.4	endure or experience a painful event	undergo (as of injuries and illnesses).
4	the manner in which something or someon functions or operates	process or manner of functioning or operating.
4	the event of coming to a stop, ending something	the event of something ending.
4.4	return to a prior state	return to an original state.
4.6	the United States, especially the North during the Civil War	the United States (especially the northern states during the American Civil War).
4	(cause to) become overloaded or overcharged	place too much a load on.
3.4	the act of substituting one thing for another	the act of furnishing an equivalent person or thing in the place of another.
3.4	imagine; form a mental picture of something	form a mental picture of something that is invisible or abstract.
3.4	indicate a decision or prediction	indicate a decision in regard to.
5	carry a burden, real or metaphorical	carry a burden, either real or metaphoric.
2.8	An official task or undertaking, usually funded	any piece of work that is undertaken or attempted.
3.2	the complete haploid sequence of DNA of an organism	the ordering of genes in a haploid set of chromosomes of a particular organism; the full DNA sequence of an organism.
4.6	stamp or emboss with a block	stamp or emboss a title or design on a book with a block.
3.8	(medicine) the capacity of an organism to defend against disease.	(medicine) the condition in which an organism can resist disease.
5	a flock of sheep or goats	a group of sheep or goats.
3.8	a unit of atmospheric pressure	(meteorology) a unit of pressure equal to a million dynes per square centimeter.
3	a winning shot in tennis against opponent's serve	(tennis) a score consisting of winning a game when your opponent was serving.
4.4	a messenger deployed on a mission on behalf of someone else	someone sent on a mission to represent the interests of someone else.
4.6	the act of taking an offer	the act of taking something that is offered.
4.8	hit or return before it touches the ground	hit before it touches the ground.
3.4	a thrusting weapon, as a sword	a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard.
3.8	mix or breed things of different varieties or qualities	breed animals or plants using parents of different races and varieties.
3.8	Walk heavily and firmly (like a cat) as when weary or over soft terrain.	walk heavily and firmly, as when weary, or through mud.
3.4	pay unsolicited sexual attention to	pay unsolicited and usually unwanted sexual attention to.
4.4	Release (gas or energy) as a result of a chemical reaction or physical decomposition (perhaps in a metaphorical sense)	release (gas or energy) as a result of a chemical reaction or physical decomposition.
4.8	reshow a play or broadcast	rerun a performance of a play, for example.
1.4	a figurative position in relation to other positions, as in arguments	a position given by its location to the side of an object.
3	state of being under control	the state of being controlled or governed.
4.8	a vehicle race on public roads	an automobile race run over public roads.
5	Amount that can be contained	the amount that can be contained.
4.2	take legal action to seek compensation for a wrong	institute legal proceedings against; file a suit against.
3	move into and stay in a particular position	put into a certain place or abstract location.
4.4	opening shot in billiards or pool	the opening shot that scatters the balls in billiards or pool.
3.8	an instrument of torture applied to foot and leg	an instrument of torture that is used to heat or crush the foot and leg.
4.91666666666667	(cause to) separate or move in different directions	to cause to separate and go in different directions.
3	An established or recognized right, formal or informal.	an informal right to something.
2.8	fetching something from a source	act of getting or draining something such as electricity or a liquid from a source.
4.6	communicate or make known by gestures, action, or signs	communicate silently and non-verbally by signals or signs.
4.8	strike the upper part of a ball giving it forward spin	strike (the top part of a ball in golf, baseball, or pool) giving it a forward spin.
5	the act of spending, disbursing funds	the act of spending or disbursing money.
0	recording tracks of music made on some medium	a trench resembling a furrow that was made by erosion or excavation.
3.6	an inherent aptitude or talent	an aptitude that may be developed.
4.6	Make liberal or more liberal, become more liberal, usually in terms of laws or rules.	make liberal or more liberal, of laws and rules.
3.6	free from obligations, service or confinement	free from obligations or duties.
4.6	twist a body part suddenly so as to sprain	twist suddenly so as to sprain.
3.2	a cause or source of duress, worry	difficulty that causes worry or emotional tension.
3.6	a state of an authority managing or dominating a circumstance	the activity of managing or exerting control over something.
0.6	move (as if) by lowering	come as if by falling.
4.2	Process, or refine in a reverberating furnace	treat, process, heat, melt, or refine in a reverberatory furnace.
4.8	economic term: raise economic demand, expand the money supply, or raise prices to experience reflation	economics: raise demand, expand the money supply, or raise prices, after a period of deflation.
3	clean, cleanse, or able to be cleaned	cleanse with a cleaning agent, such as soap, and water.
2.4	Summon into action or bring into existence, often as if by magic; ask for the aid or protection of.	request earnestly (something from somebody); ask for aid or protection.
3.6	the act of throwing a baseball	(baseball) the act of throwing a baseball by a pitcher to a batter.
4.6	Break the skin (of a body part) by scraping; impact something else.	break the skin (of a body part) by scraping.
4.8	Allocate or dedicate; set aside or apart for a specific purpose or use.	set aside or apart for a specific purpose or use.
2.8	(attempt to) convince to enroll, join or participate	register formally as a participant or member.
3.4	give a specific interpretation to	twist and turn so as to give an intended interpretation.
4.4	Organize anew, as after a setback; collect or compose oneself.	organize anew, as after a setback.
4.6	to catch in or as if in a trap; immobilize	catch in or as if in a trap.
4.8	an exclusive, privileged group of people	an exclusive group of people.
4.4	come into conflict, meet in opposition	be incompatible; be or come into conflict.
