pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
4	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	3.6	CONTRADICTION
24	A person in a black jacket is doing tricks on a motorbike	A skilled person is riding a bicycle on one wheel	3.4	NEUTRAL
105	Four children are doing backbends in the gym	Four girls are doing backbends and playing outdoors	3.8	NEUTRAL
116	A player is throwing the ball	Two teams are competing in a football match	2.9	NEUTRAL
119	Five children are standing in front of a wooden hut	Five children are standing in a wooden hut	4.2	NEUTRAL
185	Few people are eating at red tables in a restaurant without lights	A large group of Asian people is eating at a restaurant	2.6	NEUTRAL
197	Someone is on a black and white motorcycle and is standing on the seat	A motorcycle is riding standing up on the seat of the vehicle	3.165	NEUTRAL
211	Two dogs are playing by a tree	Two dogs are playing by a plant	4.6	ENTAILMENT
218	A girl in white is dancing	A girl is wearing white clothes and is dancing	4.9	ENTAILMENT
219	There is no girl in white dancing	A girl in white is dancing	4.2	CONTRADICTION
225	The equipment in front of the blond dancing girl is sound	A girl in white is dancing	2.7	NEUTRAL
228	A girl in white is dancing	The blond girl is dancing in front of the sound equipment	3.3	NEUTRAL
236	The children of a family are playing and waiting	An Asian man is dancing and three kids are looking	1.9	NEUTRAL
253	A hiker is on top of the mountain and is doing a joyful dance	A hiker is on top of the mountain and is dancing	4.7	ENTAILMENT
280	A boy is standing outside the water	The boy is wading through the blue ocean	3.135	NEUTRAL
285	A bald person is playing a guitar	A person has blonde and flyaway hair and is playing a guitar	3.9	NEUTRAL
304	An old, topless woman is covered in paint	A young, topless woman is covered in paint	3.8	NEUTRAL
317	A group of children in uniforms is standing at a gate and there is no one kissing the mother	A crowd of people is near the water	1.3	NEUTRAL
382	A brown and white dog is running through the tall grass	A brown and white dog is moving through the wild grass	4.4	NEUTRAL
384	A white and tan dog is running through the tall and green grass	A white and tan dog is running through a field	4.35	ENTAILMENT
394	A man is sitting near a bike and is writing a note	A man is standing near a bike and is writing on a piece paper	3.6	NEUTRAL
402	A group of scouts are hiking through the grass	A group of explorers are walking through the grass	4.1	NEUTRAL
417	Two men are taking a break from a trip on a snowy road	Two men with cars are on the side of a snowy road	4	NEUTRAL
450	A lady is surfing and riding a wave	A blond girl is looking at the waves	3.3	NEUTRAL
520	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people	3.3	NEUTRAL
526	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	A pedestrian woman is building pink bicycles for boa wearing riders	2.4	NEUTRAL
530	A biker is wearing gear which is black	A biker wearing black is breaking the gears	3.1	NEUTRAL
592	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	A woman is putting on a cloak, which is very large, and concealing an extravagant dress	3.5	CONTRADICTION
619	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A little boy, who looks fearful, is on a climbing wall.	3.5	NEUTRAL
630	A man isn't tossing a kid into the swimming pool that is near the ocean	The man is tossing a kid into the swimming pool that is near the ocean	3.5	CONTRADICTION
647	One man is climbing a cliff with a rope	A person with pink climbing gear roped the rock	3.3	NEUTRAL
651	A person is climbing a rock with a rope, which is pink	One man is climbing a cliff with a rope	4.6	NEUTRAL
687	One white dog is staring at the black street	Two dogs of different breeds are looking at each other across a street	3.4	NEUTRAL
698	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	A dog next to a tree, which is probably a pine, is biting a bucket	2.785	NEUTRAL
717	A few men in a competition are running outside	A few men in a competition are running indoors	3.9	CONTRADICTION
718	A few men in a competition are running outside	A few men are running competitions outside	3.9	NEUTRAL
